Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chinese Taipei,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.9,19.1,286.5
Colombia,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.388,11.999,132.061
Colombia,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,Onshore wind energy,On-grid,..,..,..,..,51,50,63,50,54,58,39,41,55,58,70,68,51,3,43.437,63.324
Colombia,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Congo,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,1.373,3.398,4.605,5.858,10.522,9.918
Cook Islands,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands,Onshore wind energy,On-grid,..,..,..,0.001,0.024,0.024,0.006,0.002,..,..,..,..,..,..,..,..,..,..,..,..
Cook Islands,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,Solar photovoltaic,On-grid,..,0.601,1.207,1.978,2.666,3.316,4.138,4.989,5.963,6.892,8.075,9.363,11.576,16.174,21.163,28.21,33.043,35.105,42.3,55.564
Costa Rica,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,Onshore wind energy,On-grid,182.7,185.5,258.9,230,255.3,203.6,273.5,241.1,198.2,326.2,358.7,414.5,528.4,484.6,734.8,1079.508,1147.291,1287.679,1798.875,1796.344
Costa Rica,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Côte d'Ivoire,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Côte d'Ivoire,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Côte d'Ivoire,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Côte d'Ivoire,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,0.091,0.12,0.137,2.404,11.283,35.174,57.264,65.541,78.7,74.9,83.1
